,date,total_trips,weekavg
0,1/1/2019,22393,22393
1,1/2/2019,38624,38624
2,1/3/2019,42536,42536
3,1/4/2019,44822,33626
4,1/5/2019,17740,36434.14286
5,1/6/2019,31961,37371.42857
6,1/7/2019,37306,36975.14286
7,1/8/2019,42050,35360.14286
8,1/9/2019,45185,36478.85714
9,1/10/2019,39762,35217.28571
10,1/11/2019,33517,34995
11,1/12/2019,25571,34699.57143
12,1/13/2019,23130,34132.14286
13,1/14/2019,35750,34135.14286
14,1/15/2019,39982,34337.14286
15,1/16/2019,41213,34135.28571
16,1/17/2019,39783,32902.71429
17,1/18/2019,34931,29293.71429
18,1/19/2019,24158,27758.14286
19,1/20/2019,14502,27920.14286
20,1/21/2019,10487,25167.71429
21,1/22/2019,29233,25831.28571
22,1/23/2019,42347,26204
23,1/24/2019,20516,28492.28571
24,1/25/2019,39576,32189.57143
25,1/26/2019,26767,32531.71429
26,1/27/2019,30520,30139.14286
27,1/28/2019,36368,29923.42857
28,1/29/2019,31628,27912.85714
29,1/30/2019,25599,27283.57143
30,1/31/2019,19006,27561.71429
31,2/1/2019,25502,29124.57143
32,2/2/2019,22362,32498
33,2/3/2019,32467,34562
34,2/4/2019,47308,38135.28571
35,2/5/2019,55242,39807.42857
36,2/6/2019,40047,40074
37,2/7/2019,44019,38943.57143
38,2/8/2019,37207,37822
39,2/9/2019,24228,32245
40,2/10/2019,24554,31614.14286
41,2/11/2019,39457,31401.71429
42,2/12/2019,16203,32913
43,2/13/2019,35631,33957.28571
44,2/14/2019,42532,33941.85714
45,2/15/2019,47786,32056.71429
46,2/16/2019,31538,34805.71429
47,2/17/2019,24446,32700.71429
48,2/18/2019,26261,32374.85714
49,2/19/2019,35446,31640.57143
50,2/20/2019,20896,31729.14286
51,2/21/2019,40251,31758.42857
52,2/22/2019,42646,32988.85714
53,2/23/2019,32158,33398.85714
54,2/24/2019,24651,35736.28571
55,2/25/2019,34874,35560.85714
56,2/26/2019,38316,33870
57,2/27/2019,37258,31895
58,2/28/2019,39023,31743.85714
59,3/1/2019,30810,30894
60,3/2/2019,18333,30820.42857
61,3/3/2019,23593,30349.85714
62,3/4/2019,28925,30011
63,3/5/2019,37801,31492.42857
64,3/6/2019,33964,34527.57143
65,3/7/2019,36651,33901.71429
66,3/8/2019,41180,37401.85714
67,3/9/2019,39579,38883.57143
68,3/10/2019,19212,41322
69,3/11/2019,53426,44437.85714
70,3/12/2019,48173,46913.28571
71,3/13/2019,51033,47382.85714
72,3/14/2019,58462,49980
73,3/15/2019,58508,49125.28571
74,3/16/2019,42866,49950.71429
75,3/17/2019,37392,50715.57143
76,3/18/2019,47443,45460
77,3/19/2019,53951,42258.14286
78,3/20/2019,56387,41550.57143
79,3/21/2019,21673,43510.71429
80,3/22/2019,36095,44520
81,3/23/2019,37913,44877.42857
82,3/24/2019,51113,44752
83,3/25/2019,54508,50152.14286
84,3/26/2019,56453,53614.14286
85,3/27/2019,55509,57851
86,3/28/2019,59474,55297.57143
87,3/29/2019,60329,54987.42857
88,3/30/2019,67571,55352.57143
89,3/31/2019,33239,57298
90,4/1/2019,52337,58456.85714
91,4/2/2019,59009,54866.28571
92,4/3/2019,69127,54857.71429
93,4/4/2019,67586,59497.71429
94,4/5/2019,35195,62284.57143
95,4/6/2019,67511,62494.57143
96,4/7/2019,65719,62950.57143
97,4/8/2019,71845,62378.42857
98,4/9/2019,60479,65787.14286
99,4/10/2019,72319,66516
100,4/11/2019,63581,65623.14286
101,4/12/2019,59056,62020.42857
102,4/13/2019,72613,62609
103,4/14/2019,59469,61779
104,4/15/2019,46626,61670.42857
105,4/16/2019,64599,62683.28571
106,4/17/2019,66509,57639.57143
107,4/18/2019,62821,56678.57143
108,4/19/2019,66146,56459.42857
109,4/20/2019,37307,58216.57143
110,4/21/2019,52742,60042.71429
111,4/22/2019,45092,59932.57143
112,4/23/2019,76899,55903.57143
113,4/24/2019,79292,58774.28571
114,4/25/2019,62050,57221.71429
115,4/26/2019,37943,59647
116,4/27/2019,57402,57794.71429
117,4/28/2019,41874,55345.71429
118,4/29/2019,62069,56474.14286
119,4/30/2019,63933,60146.42857
120,5/1/2019,62149,60104.85714
121,5/2/2019,69949,56476.57143
122,5/3/2019,63649,57794.85714
123,5/4/2019,57111,59277.85714
124,5/5/2019,16476,61525.85714
125,5/6/2019,71297,61249.85714
126,5/7/2019,74314,62077
127,5/8/2019,77885,64054.71429
128,5/9/2019,68017,63262.28571
129,5/10/2019,69439,56337.42857
130,5/11/2019,70955,51965
131,5/12/2019,10929,51665.42857
132,5/13/2019,22823,53289
133,5/14/2019,43707,53869.57143
134,5/15/2019,75788,54363.14286
135,5/16/2019,79382,62967.42857
136,5/17/2019,73503,70558.85714
137,5/18/2019,74410,75843.71429
138,5/19/2019,71159,76948.71429
139,5/20/2019,75963,73832.71429
140,5/21/2019,80701,74222.71429
141,5/22/2019,83523,72226.28571
142,5/23/2019,57570,69315.14286
143,5/24/2019,76233,68144.57143
144,5/25/2019,60435,65270.42857
145,5/26/2019,50781,61351
146,5/27/2019,67769,60749.57143
147,5/28/2019,60582,61966.57143
148,5/29/2019,56087,64442.85714
149,5/30/2019,53360,66960.85714
150,5/31/2019,84752,68574.57143
151,6/1/2019,77769,72049
152,6/2/2019,68407,75496.28571
153,6/3/2019,79065,79707.28571
154,6/4/2019,84903,79670.85714
155,6/5/2019,80218,79890.28571
156,6/6/2019,82837,80876.42857
157,6/7/2019,84497,74993.71429
158,6/8/2019,79305,74224.71429
159,6/9/2019,75310,75138
160,6/10/2019,37886,70454.71429
161,6/11/2019,79520,70118.85714
162,6/12/2019,86611,69518
163,6/13/2019,50054,66835.57143
164,6/14/2019,82146,71996.28571
165,6/15/2019,75099,65947.14286
166,6/16/2019,56533,62847.28571
167,6/17/2019,74011,64428.71429
168,6/18/2019,37176,62247.14286
169,6/19/2019,64912,62661
170,6/20/2019,61124,65557.57143
171,6/21/2019,66875,66632.28571
172,6/22/2019,77996,70920.14286
173,6/23/2019,76809,73760.71429
174,6/24/2019,81534,76898.14286
175,6/25/2019,67191,78817.57143
176,6/26/2019,84796,76809.42857
177,6/27/2019,83086,75105.28571
178,6/28/2019,80311,74856.14286
179,6/29/2019,63939,76654.57143
180,6/30/2019,64880,75373.42857
181,7/1/2019,79790,71217.71429
182,7/2/2019,79780,68293.71429
183,7/3/2019,75828,66559.71429
184,7/4/2019,53996,66231.71429
185,7/5/2019,59843,64742.14286
186,7/6/2019,51801,65536.14286
187,7/7/2019,62584,66973.71429
188,7/8/2019,69363,67200.42857
189,7/9/2019,85338,70476.42857
190,7/10/2019,85891,74251.42857
191,7/11/2019,55583,75190.14286
192,7/12/2019,82775,77085.28571
193,7/13/2019,78226,77224
194,7/14/2019,69155,75040.57143
195,7/15/2019,82629,76001.42857
196,7/16/2019,86309,75136.85714
197,7/17/2019,70607,71321.42857
198,7/18/2019,62309,68465
199,7/19/2019,76723,64312
200,7/20/2019,51518,61643.57143
201,7/21/2019,49160,64320.71429
202,7/22/2019,53558,68020.42857
203,7/23/2019,67630,69141.14286
204,7/24/2019,89347,72295.28571
205,7/25/2019,88207,75110.57143
206,7/26/2019,84568,78941
207,7/27/2019,73597,81053
208,7/28/2019,68867,77866.71429
209,7/29/2019,80371,78055.57143
210,7/30/2019,82414,77981.42857
211,7/31/2019,67043,78716.71429
212,8/1/2019,89529,78602.57143
213,8/2/2019,84049,79137.85714
214,8/3/2019,78744,79402.71429
215,8/4/2019,68068,77452
216,8/5/2019,84118,76281.28571
217,8/6/2019,84268,75983
218,8/7/2019,53388,76769.28571
