date,total_trips
2019-01-01,22393
2019-01-02,38624
2019-01-03,42536
2019-01-04,44822
2019-01-05,17740
2019-01-06,31961
2019-01-07,37306
2019-01-08,42050
2019-01-09,45185
2019-01-10,39762
2019-01-11,33517
2019-01-12,25571
2019-01-13,23130
2019-01-14,35750
2019-01-15,39982
2019-01-16,41213
2019-01-17,39783
2019-01-18,34931
2019-01-19,24158
2019-01-20,14502
2019-01-21,10487
2019-01-22,29233
2019-01-23,42347
2019-01-24,20516
2019-01-25,39576
2019-01-26,26767
2019-01-27,30520
2019-01-28,36368
2019-01-29,31628
2019-01-30,25599
2019-01-31,19006
2019-02-01,25502
2019-02-02,22362
2019-02-03,32467
2019-02-04,47308
2019-02-05,55242
2019-02-06,40047
2019-02-07,44019
2019-02-08,37207
2019-02-09,24228
2019-02-10,24554
2019-02-11,39457
2019-02-12,16203
2019-02-13,35631
2019-02-14,42532
2019-02-15,47786
2019-02-16,31538
2019-02-17,24446
2019-02-18,26261
2019-02-19,35446
2019-02-20,20896
2019-02-21,40251
2019-02-22,42646
2019-02-23,32158
2019-02-24,24651
2019-02-25,34874
2019-02-26,38316
2019-02-27,37258
2019-02-28,39023
2019-03-01,30810
2019-03-02,18333
2019-03-03,23593
2019-03-04,28925
2019-03-05,37801
2019-03-06,33964
2019-03-07,36651
2019-03-08,41180
2019-03-09,39579
2019-03-10,19212
2019-03-11,53426
2019-03-12,48173
2019-03-13,51033
2019-03-14,58462
2019-03-15,58508
2019-03-16,42866
2019-03-17,37392
2019-03-18,47443
2019-03-19,53951
2019-03-20,56387
2019-03-21,21673
2019-03-22,36095
2019-03-23,37913
2019-03-24,51113
2019-03-25,54508
2019-03-26,56453
2019-03-27,55509
2019-03-28,59474
2019-03-29,60329
2019-03-30,67571
2019-03-31,33239
2019-04-01,52337
2019-04-02,59009
2019-04-03,69127
2019-04-04,67586
2019-04-05,35195
2019-04-06,67511
2019-04-07,65719
2019-04-08,71845
2019-04-09,60479
2019-04-10,72319
2019-04-11,63581
2019-04-12,59056
2019-04-13,72613
2019-04-14,59469
2019-04-15,46626
2019-04-16,64599
2019-04-17,66509
2019-04-18,62821
2019-04-19,66146
2019-04-20,37307
2019-04-21,52742
2019-04-22,45092
2019-04-23,76899
2019-04-24,79292
2019-04-25,62050
2019-04-26,37943
2019-04-27,57402
2019-04-28,41874
2019-04-29,62069
2019-04-30,63933
2019-05-01,62149
2019-05-02,69949
2019-05-03,63649
2019-05-04,57111
2019-05-05,16476
2019-05-06,71297
2019-05-07,74314
2019-05-08,77885
2019-05-09,68017
2019-05-10,69439
2019-05-11,70955
2019-05-12,10929
2019-05-13,22823
2019-05-14,43707
2019-05-15,75788
2019-05-16,79382
2019-05-17,73503
2019-05-18,74410
2019-05-19,71159
2019-05-20,75963
2019-05-21,80701
2019-05-22,83523
2019-05-23,57570
2019-05-24,76233
2019-05-25,60435
2019-05-26,50781
2019-05-27,67769
2019-05-28,60582
2019-05-29,56087
2019-05-30,53360
2019-05-31,84752
2019-06-01,77769
2019-06-02,68407
2019-06-03,79065
2019-06-04,84903
2019-06-05,80218
2019-06-06,82837
2019-06-07,84497
2019-06-08,79305
2019-06-09,75310
2019-06-10,37886
2019-06-11,79520
2019-06-12,86611
2019-06-13,50054
2019-06-14,82146
2019-06-15,75099
2019-06-16,56533
2019-06-17,74011
2019-06-18,37176
2019-06-19,64912
2019-06-20,61124
2019-06-21,66875
2019-06-22,77996
2019-06-23,76809
2019-06-24,81534
2019-06-25,67191
2019-06-26,84796
2019-06-27,83086
2019-06-28,80311
2019-06-29,63939
2019-06-30,64880
2019-07-01,79790
2019-07-02,79780
2019-07-03,75828
2019-07-04,53996
2019-07-05,59843
2019-07-06,51801
2019-07-07,62584
2019-07-08,69363
2019-07-09,85338
2019-07-10,85891
2019-07-11,55583
2019-07-12,82775
2019-07-13,78226
2019-07-14,69155
2019-07-15,82629
2019-07-16,86309
2019-07-17,70607
2019-07-18,62309
2019-07-19,76723
2019-07-20,51518
2019-07-21,49160
2019-07-22,53558
2019-07-23,67630
2019-07-24,89347
2019-07-25,88207
2019-07-26,84568
2019-07-27,73597
2019-07-28,68867
2019-07-29,80371
2019-07-30,82414
2019-07-31,67043
2019-08-01,89529
2019-08-02,84049
2019-08-03,78744
2019-08-04,68068
2019-08-05,84118
2019-08-06,84268
2019-08-07,53388
2019-08-08,81334
2019-08-09,81961
2019-08-10,84248
2019-08-11,74708
2019-08-12,83100
2019-08-13,76621
2019-08-14,77308
2019-08-15,86645
2019-08-16,83362
2019-08-17,79420
2019-08-18,57442
2019-08-19,75528
2019-08-20,84085
2019-08-21,74643
2019-08-22,75356
2019-08-23,65224
2019-08-24,75703
2019-08-25,73261
2019-08-26,80633
2019-08-27,84446
2019-08-28,66675
2019-08-29,85085
2019-08-30,78511
2019-08-31,65472
2019-09-01,63844
2019-09-02,38536
2019-09-03,85497
2019-09-04,86730
2019-09-05,91513
2019-09-06,56467
2019-09-07,79808
2019-09-08,73739
2019-09-09,86564
2019-09-10,89325
2019-09-11,92362
2019-09-12,71633
2019-09-13,89470
2019-09-14,76882
2019-09-15,80439
2019-09-16,83800
2019-09-17,94939
2019-09-18,92119
2019-09-19,91506
2019-09-20,92340
2019-09-21,100658
2019-09-22,77773
2019-09-23,87254
2019-09-24,94962
2019-09-25,95905
2019-09-26,86425
2019-09-27,95193
2019-09-28,83087
2019-09-29,77171
2019-09-30,78203
2019-10-01,88852
2019-10-02,81516
2019-10-03,40061
2019-10-04,85010
2019-10-05,70420
2019-10-06,61649
2019-10-07,78846
2019-10-08,82189
2019-10-09,51655
2019-10-10,86591
2019-10-11,81042
2019-10-12,72002
2019-10-13,68765
2019-10-14,79125
2019-10-15,85091
2019-10-16,45043
2019-10-17,68742
2019-10-18,75175
2019-10-19,67942
2019-10-20,29083
2019-10-21,80046
2019-10-22,56075
2019-10-23,82045
2019-10-24,85085
2019-10-25,82831
2019-10-26,69215
2019-10-27,27248
2019-10-28,78316
2019-10-29,54338
2019-10-30,70123
2019-10-31,50705
2019-11-01,72075
2019-11-02,59633
2019-11-03,53192
2019-11-04,71505
2019-11-05,75303
2019-11-06,74177
2019-11-07,57911
2019-11-08,51420
2019-11-09,38698
2019-11-10,42821
2019-11-11,66228
2019-11-12,40065
2019-11-13,44962
2019-11-14,55906
2019-11-15,60826
2019-11-16,37614
2019-11-17,32684
2019-11-18,36421
2019-11-19,58647
2019-11-20,58916
2019-11-21,63987
2019-11-22,52261
2019-11-23,40858
2019-11-24,18476
2019-11-25,59982
2019-11-26,65008
2019-11-27,52529
2019-11-28,16545
2019-11-29,23782
2019-11-30,27073
2019-12-01,10993
2019-12-02,18410
2019-12-03,40020
2019-12-04,48342
2019-12-05,50047
2019-12-06,52724
2019-12-07,35169
2019-12-08,32880
2019-12-09,15504
2019-12-10,43299
2019-12-11,38986
2019-12-12,46268
2019-12-13,33683
2019-12-14,30826
2019-12-15,34376
2019-12-16,42669
2019-12-17,19688
2019-12-18,38658
2019-12-19,30043
2019-12-20,34923
2019-12-21,24722
2019-12-22,24217
2019-12-23,38205
2019-12-24,26509
2019-12-25,13314
2019-12-26,25819
2019-12-27,32535
2019-12-28,29097
2019-12-29,18321
2019-12-30,12465
2019-12-31,32226
