Hudson,K1: Williamsburg/Greenpoint,K2: Fort Greene/Brooklyn Hts,K3: Bedford Stuyvesant,K55: Prospect Park,K6: Park Slope,K8: Crown Heights North,M1: Battery Park/Tribeca,M10: Central Harlem,M11: East Harlem,M2: Greenwich Village,M3: Lower East Side,M4: Chelsea/Clinton,M5: Midtown Business District,M6: Murray Hill/Stuyvesant,M64: Central Park,M7: Upper West Side,M8: Upper East Side,M9: Manhattanville,Q1: Astoria,Q2: Sunnyside/Woodside
131499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,285564,25977,13953,0,0,0,0,0,0,12026,21874,0,0,0,0,0,0,0,0,13755
0,25708,228305,19528,0,74493,15472,17938,0,0,0,15035,0,0,0,0,0,0,0,0,0
0,14091,21017,37642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16608,14594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,73436,0,11998,136534,11839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17389,0,0,13789,17876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17693,0,0,0,0,224937,0,0,93072,74773,55423,21658,16243,0,0,0,0,0,0
0,0,0,0,0,0,0,0,21470,17546,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,17563,51763,0,0,0,0,0,0,0,26183,0,0,0
0,12039,0,0,0,0,0,96715,0,0,258281,148304,109543,93928,39070,0,0,0,0,0,0
0,23926,16827,0,0,0,0,79522,0,0,149811,295448,31365,62290,63906,0,0,0,0,0,0
0,0,0,0,0,0,0,56988,0,0,110215,31811,292432,196628,42930,10359,47108,12611,0,0,0
0,0,0,0,0,0,0,25321,0,0,103604,67973,197765,371374,146947,32879,39858,38619,0,0,0
0,0,0,0,0,0,0,15505,0,0,41713,66240,43216,147292,136464,0,0,35152,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,11238,35626,0,74517,36460,24312,0,0,0
0,0,0,0,0,0,0,0,0,0,10400,0,52300,51399,0,33427,140893,25341,11259,0,0
0,0,0,0,0,0,0,0,0,25941,0,0,12034,43830,33373,22029,23716,123964,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11284,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90896,14332
0,14761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14156,31190
