Hudson,K1: Williamsburg/Greenpoint,K2: Fort Greene/Brooklyn Hts,K3: Bedford Stuyvesant,K4: Bushwick,K55: Prospect Park,K6: Park Slope,K8: Crown Heights North,M1: Battery Park/Tribeca,M10: Central Harlem,M11: East Harlem,M2: Greenwich Village,M3: Lower East Side,M4: Chelsea/Clinton,M5: Midtown Business District,M6: Murray Hill/Stuyvesant,M64: Central Park,M7: Upper West Side,M8: Upper East Side,M9: Manhattanville,Q1: Astoria,Q2: Sunnyside/Woodside
86638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,195640,23134,14704,19571,0,0,0,0,0,0,10370,21299,0,0,0,0,0,0,0,0,10811
0,22862,127195,18625,0,0,38983,11392,11129,0,0,0,12223,0,0,0,0,0,0,0,0,0
0,14254,19205,27983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20853,0,0,27789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19390,10345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,38407,0,0,0,75701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11958,0,0,0,0,12691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12907,0,0,0,0,0,112873,0,0,57750,44714,43282,15937,16944,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,32169,15192,0,0,0,0,0,0,10470,0,0,0,0
0,0,0,0,0,0,0,0,0,14997,57377,0,0,0,0,0,0,0,22812,0,0,0
0,10533,0,0,0,0,0,0,56332,0,0,142467,73977,66978,43859,25993,0,13459,0,0,0,0
0,22902,14083,0,0,0,0,0,46014,0,0,73907,203376,21112,31684,44024,0,0,0,0,0,0
0,0,0,0,0,0,0,0,43790,0,0,67045,21324,177900,83501,27155,13534,40306,11266,0,0,0
0,0,0,0,0,0,0,0,19247,0,0,49772,35713,82916,138993,64760,22780,25256,26286,0,0,0
0,0,0,0,0,0,0,0,17135,0,0,26298,45385,27070,63161,98412,10113,0,34695,0,0,0
0,0,0,0,0,0,0,0,0,10806,0,0,0,13271,23373,0,55301,29669,24802,0,0,0
0,0,0,0,0,0,0,0,0,0,0,14631,0,43191,29322,0,28487,117275,18854,13903,0,0
0,0,0,0,0,0,0,0,0,0,23585,0,10090,11745,28642,34764,26031,17910,114089,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15308,0,16057,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103627,19023
0,11741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18603,29637
