B1..Mott.Haven,B3..Morrisania,B4..Concourse.Highbridge,Hudson,K1..Williamsburg.Greenpoint,K2..Fort.Greene.Brooklyn.Hts,K3..Bedford.Stuyvesant,K4..Bushwick,K55..Prospect.Park,K6..Park.Slope,K7..Sunset.Park,K8..Crown.Heights.North,M1..Battery.Park.Tribeca,M10..Central.Harlem,M11..East.Harlem,M12..Washington.Heights,M2..Greenwich.Village,M3..Lower.East.Side,M4..Chelsea.Clinton,M5..Midtown.Business.District,M6..Murray.Hill.Stuyvesant,M64..Central.Park,M7..Upper.West.Side,M8..Upper.East.Side,M9..Manhattanville,Q1..Astoria,Q2..Sunnyside.Woodside
23542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,28385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,152429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,339685,37423,22943,27471,0,0,0,0,0,0,0,0,19015,39320,0,0,0,0,0,0,0,0,14604
0,0,0,0,39200,234808,28206,0,10077,79036,0,22565,18200,0,0,0,14764,21263,0,0,0,0,0,0,0,0,0
0,0,0,0,23341,28537,43842,13009,0,0,0,11422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29607,0,13701,55676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10571,0,0,26456,18753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,77906,0,0,17377,142142,17004,16528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17424,29165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,23883,10859,0,0,18449,0,18759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,20215,0,0,0,0,0,0,194297,0,0,0,104123,75635,56870,21440,16627,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,78089,29303,0,0,0,0,0,0,0,21760,0,18419,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,28696,86017,0,0,0,0,0,0,0,17558,38838,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42319,0,0,0,0,0,0,0,0,10303,0,0
0,0,0,0,18625,14093,0,0,0,0,0,0,104176,0,0,0,265432,161338,132550,84744,51474,0,18361,0,0,0,0
0,0,0,0,42162,23829,0,0,0,0,0,0,77222,0,0,0,159642,366225,43031,53920,80382,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,58675,0,0,0,133925,43680,357273,180392,60243,17329,66041,20691,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,24959,0,0,0,93322,62539,171867,252173,126429,34743,49933,46160,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18614,0,0,0,54241,84071,61091,123890,180361,10730,13753,51139,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10357,0,0,0,0,15264,31733,0,55548,42434,29988,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,11005,21114,17911,0,21438,0,70749,57719,16314,36789,229097,42225,23342,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38230,0,0,11683,20260,46818,52655,29936,40397,205306,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,18476,0,0,0,0,0,0,0,0,25892,0,35610,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201324,22802
0,0,0,0,15128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21059,34079
