tempid,latitude,longitude,startstation,endstation,count
0,40.76582,-73.97641,Central Park S & 6 Ave,Central Park S & 6 Ave,3231
1,40.76676,-73.97912,7 Ave & Central Park South,7 Ave & Central Park South,3040
2,40.7728,-73.96679,5 Ave & E 72 St,5 Ave & E 72 St,2309
3,40.66109,-73.97946,West Drive & Prospect Park West,West Drive & Prospect Park West,2028
4,40.77582,-73.97627,Central Park West & W 72 St,Central Park West & W 72 St,2023
5,40.75731,-73.95358,Roosevelt Island Tramway,Motorgate,1817
5,40.75707,-73.95309,Roosevelt Island Tramway,Motorgate,1817
5,40.75703,-73.95305,Roosevelt Island Tramway,Motorgate,1817
5,40.75705,-73.95295,Roosevelt Island Tramway,Motorgate,1817
5,40.75702,-73.95282,Roosevelt Island Tramway,Motorgate,1817
5,40.75703,-73.9527,Roosevelt Island Tramway,Motorgate,1817
5,40.75705,-73.95264,Roosevelt Island Tramway,Motorgate,1817
5,40.75722,-73.9525,Roosevelt Island Tramway,Motorgate,1817
5,40.75751,-73.9523,Roosevelt Island Tramway,Motorgate,1817
5,40.75761,-73.95225,Roosevelt Island Tramway,Motorgate,1817
5,40.75785,-73.95222,Roosevelt Island Tramway,Motorgate,1817
5,40.75791,-73.9522,Roosevelt Island Tramway,Motorgate,1817
5,40.758,-73.95215,Roosevelt Island Tramway,Motorgate,1817
5,40.75841,-73.95183,Roosevelt Island Tramway,Motorgate,1817
5,40.75846,-73.95181,Roosevelt Island Tramway,Motorgate,1817
5,40.7585,-73.95173,Roosevelt Island Tramway,Motorgate,1817
5,40.75862,-73.95161,Roosevelt Island Tramway,Motorgate,1817
5,40.75868,-73.95157,Roosevelt Island Tramway,Motorgate,1817
5,40.7588,-73.95136,Roosevelt Island Tramway,Motorgate,1817
5,40.75889,-73.95126,Roosevelt Island Tramway,Motorgate,1817
5,40.75924,-73.95096,Roosevelt Island Tramway,Motorgate,1817
5,40.75964,-73.9506,Roosevelt Island Tramway,Motorgate,1817
5,40.75975,-73.95077,Roosevelt Island Tramway,Motorgate,1817
5,40.7599,-73.95086,Roosevelt Island Tramway,Motorgate,1817
5,40.7602,-73.95104,Roosevelt Island Tramway,Motorgate,1817
5,40.76045,-73.95083,Roosevelt Island Tramway,Motorgate,1817
5,40.76056,-73.95108,Roosevelt Island Tramway,Motorgate,1817
5,40.76066,-73.95121,Roosevelt Island Tramway,Motorgate,1817
5,40.76071,-73.95114,Roosevelt Island Tramway,Motorgate,1817
5,40.76091,-73.95084,Roosevelt Island Tramway,Motorgate,1817
5,40.761,-73.95071,Roosevelt Island Tramway,Motorgate,1817
5,40.76112,-73.95056,Roosevelt Island Tramway,Motorgate,1817
5,40.76117,-73.95051,Roosevelt Island Tramway,Motorgate,1817
5,40.76155,-73.94998,Roosevelt Island Tramway,Motorgate,1817
5,40.76164,-73.94989,Roosevelt Island Tramway,Motorgate,1817
5,40.7624,-73.94948,Roosevelt Island Tramway,Motorgate,1817
5,40.76276,-73.94927,Roosevelt Island Tramway,Motorgate,1817
5,40.76288,-73.94919,Roosevelt Island Tramway,Motorgate,1817
5,40.76299,-73.94909,Roosevelt Island Tramway,Motorgate,1817
5,40.76327,-73.94871,Roosevelt Island Tramway,Motorgate,1817
5,40.76347,-73.94843,Roosevelt Island Tramway,Motorgate,1817
5,40.76365,-73.94818,Roosevelt Island Tramway,Motorgate,1817
5,40.76373,-73.94807,Roosevelt Island Tramway,Motorgate,1817
5,40.76402,-73.94781,Roosevelt Island Tramway,Motorgate,1817
5,40.76414,-73.94769,Roosevelt Island Tramway,Motorgate,1817
5,40.764,-73.94742,Roosevelt Island Tramway,Motorgate,1817
5,40.76383,-73.94708,Roosevelt Island Tramway,Motorgate,1817
5,40.76381,-73.94707,Roosevelt Island Tramway,Motorgate,1817
5,40.76378,-73.94707,Roosevelt Island Tramway,Motorgate,1817
5,40.76367,-73.94716,Roosevelt Island Tramway,Motorgate,1817
5,40.76359,-73.94724,Roosevelt Island Tramway,Motorgate,1817
5,40.76356,-73.94739,Roosevelt Island Tramway,Motorgate,1817
5,40.76357,-73.94748,Roosevelt Island Tramway,Motorgate,1817
5,40.76361,-73.94755,Roosevelt Island Tramway,Motorgate,1817
5,40.7637,-73.94763,Roosevelt Island Tramway,Motorgate,1817
5,40.76376,-73.94765,Roosevelt Island Tramway,Motorgate,1817
5,40.76381,-73.94763,Roosevelt Island Tramway,Motorgate,1817
5,40.76402,-73.94742,Roosevelt Island Tramway,Motorgate,1817
