index,endName,endLat,endLong,count,per_count
0,E 17 St & Broadway,40.73704984,-73.99009296,42035,1
1,W 21 St & 6 Ave,40.74173969,-73.99415556,40777,1
2,1 Ave & E 68 St,40.76500525,-73.95818491,39899,0.95
3,West St & Chambers St,40.71754834,-74.01322069,38088,0.95
4,Broadway & W 25 St,40.74286877,-73.98918629,36579,0.9
5,7 Ave & Central Park South,40.76674056,-73.97906899,36539,0.9
6,West St & Liberty St,40.711444,-74.014847,34407,0.85
7,Cleveland Pl & Spring St,40.72210379,-73.99724901,31935,0.8
8,Central Park S & 6 Ave,40.76590936,-73.97634151,31705,0.8
9,12 Ave & W 40 St,40.76087502,-74.00277668,30724,0.75
10,Pershing Square North,40.751873,-73.977706,30334,0.75
11,E 13 St & Avenue A,40.72966729,-73.98067966,30227,0.75
12,Carmine St & 6 Ave,40.73038599,-74.00214988,29897,0.75
13,8 Ave & W 52 St,40.76370739,-73.9851615,29821,0.75
14,Grand St & Elizabeth St,40.718822,-73.99596,29561,0.75
15,University Pl & E 14 St,40.734814,-73.992085,29464,0.75
16,Broadway & E 14 St,40.73454567,-73.99074142,29241,0.7
17,E 33 St & 1 Ave,40.74322681,-73.97449784,29153,0.7
18,Pier 40 - Hudson River Park,40.72771408,-74.01129574,29150,0.7
19,W 22 St & 10 Ave,40.74691959,-74.00451887,29035,0.7
20,6 Ave & W 33 St,40.74901271,-73.98848395,28818,0.7
21,W 34 St & 11 Ave,40.75594159,-74.0021163,28489,0.7
22,9 Ave & W 22 St,40.7454973,-74.00197139,27911,0.7
23,11 Ave & W 41 St,40.76030096,-73.99884222,27862,0.7
24,E 10 St & Avenue A,40.72740794,-73.98142006,27666,0.7
25,5 Ave & E 72 St,40.77282817,-73.96685276,26488,0.65
26,W 30 St & 10 Ave,40.752694,-74.002353,26211,0.65
27,Central Park West & W 72 St,40.77579377,-73.97620574,26089,0.65
28,W 24 St & 7 Ave,40.74487634,-73.99529885,25520,0.65
29,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,25513,0.65
30,8 Ave & W 38 St,40.75461,-73.99177,25505,0.65
31,1 Ave & E 39 St,40.74714,-73.97113,25182,0.6
32,W 4 St & 7 Ave S,40.73401143,-74.00293877,25154,0.6
33,Central Park West & W 68 St,40.7734066,-73.97782542,25148,0.6
34,Clinton St & Grand St,40.71559509,-73.9870295,24868,0.6
35,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,24845,0.6
36,6 Ave & W 34 St,40.74964,-73.98805,24547,0.6
37,E 6 St & Avenue B,40.72453734,-73.98185424,24211,0.6
38,E 7 St & Avenue A,40.72621788,-73.98379855,24021,0.6
39,8 Ave & W 33 St,40.751551,-73.993934,24013,0.6
40,1 Ave & E 16 St,40.73221853,-73.98165557,24010,0.6
41,University Pl & E 8 St,40.73143724,-73.99490342,23962,0.6
42,Broadway & W 51 St,40.76228826,-73.98336183,23763,0.6
43,Washington St & Gansevoort St,40.739323,-74.008119,23713,0.6
44,W 63 St & Broadway,40.77163851,-73.98261428,23621,0.6
45,1 Ave & E 78 St,40.77140426,-73.9535166,23545,0.6
46,Lafayette St & E 8 St,40.73020661,-73.99102628,23453,0.6
47,W 49 St & 8 Ave,40.76227205,-73.98788205,23183,0.6
48,10 Ave & W 28 St,40.75066386,-74.00176802,23134,0.6
49,W 41 St & 8 Ave,40.75640548,-73.9900262,23132,0.6
50,E 31 St & 3 Ave,40.74394314,-73.97966069,22891,0.55
51,W 43 St & 10 Ave,40.76009437,-73.99461843,22785,0.55
52,E 27 St & 1 Ave,40.739445,-73.976806,22713,0.55
53,Columbus Ave & W 72 St,40.7770575,-73.97898475,22640,0.55
54,Christopher St & Greenwich St,40.73291553,-74.00711384,22486,0.55
55,E 2 St & Avenue B,40.72217444,-73.98368779,22351,0.55
56,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,22268,0.55
57,Kent Ave & N 7 St,40.72036775,-73.96165073,22115,0.55
58,E 20 St & 2 Ave,40.73587678,-73.98205027,22055,0.55
59,Canal St & Rutgers St,40.71427487,-73.98990025,22051,0.55
60,W 27 St & 7 Ave,40.746647,-73.993915,21993,0.55
61,1 Ave & E 62 St,40.7612274,-73.96094022,21979,0.55
62,Broadway & W 60 St,40.76915505,-73.98191841,21897,0.55
63,S 4 St & Wythe Ave,40.71285887,-73.96590294,21884,0.55
64,E 25 St & 2 Ave,40.73912601,-73.97973776,21866,0.55
65,2 Ave & E 31 St,40.74290902,-73.97706058,21707,0.55
66,W 31 St & 7 Ave,40.749156,-73.9916,21668,0.55
67,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,21574,0.55
68,W 33 St & 7 Ave,40.75019995,-73.99093085,21557,0.55
69,S 5 Pl & S 5 St,40.710451,-73.960876,21524,0.55
70,W 22 St & 8 Ave,40.74475148,-73.99915362,21390,0.55
71,Mott St & Prince St,40.72317958,-73.99480012,21278,0.55
72,Lafayette St & Jersey St,40.72456089,-73.99565293,21158,0.55
73,St Marks Pl & 2 Ave,40.7284186,-73.98713956,21137,0.55
74,W 26 St & 8 Ave,40.74734825,-73.99723551,21131,0.55
75,8 Ave & W 31 St,40.75058535,-73.99468482,21070,0.55
76,FDR Drive & E 35 St,40.744219,-73.97121214,21049,0.55
77,W 20 St & 7 Ave,40.74238787,-73.99726235,21000,0.5
78,1 Ave & E 18 St,40.73381219,-73.98054421,20836,0.5
79,9 Ave & W 45 St,40.76019252,-73.9912551,20737,0.5
80,Norfolk St & Broome St,40.7172274,-73.98802084,20674,0.5
81,Allen St & Rivington St,40.72019576,-73.98997825,20552,0.5
82,E 13 St & 2 Ave,40.73153937,-73.98530245,20500,0.5
83,W 20 St & 10 Ave,40.745686,-74.005141,20489,0.5
84,Allen St & Stanton St,40.722055,-73.989111,20217,0.5
85,E 16 St & 5 Ave,40.73726186,-73.99238967,20179,0.5
86,West End Ave & W 60 St,40.77237,-73.99005,20158,0.5
87,Allen St & Hester St,40.71605866,-73.99190759,19909,0.5
88,W 15 St & 6 Ave,40.73804614,-73.99642959,19883,0.5
89,W 55 St & 6 Ave,40.763189,-73.978434,19820,0.5
