index,startName,startLat,startLong,count,per_count
0,Pershing Square North,40.751873,-73.977706,53926,1
1,Broadway & E 22 St,40.7403432,-73.98955109,41625,0.8
2,8 Ave & W 31 St,40.75058535,-73.99468482,41611,0.8
3,E 17 St & Broadway,40.73704984,-73.99009296,40904,0.8
4,Broadway & E 14 St,40.73454567,-73.99074142,39609,0.75
5,West St & Chambers St,40.71754834,-74.01322069,39065,0.75
6,Broadway & W 60 St,40.76915505,-73.98191841,37260,0.7
7,12 Ave & W 40 St,40.76087502,-74.00277668,36995,0.7
8,Christopher St & Greenwich St,40.73291553,-74.00711384,35178,0.7
9,W 20 St & 11 Ave,40.746745,-74.007756,34215,0.65
10,W 33 St & 7 Ave,40.75019995,-73.99093085,32631,0.65
11,8 Ave & W 33 St,40.751551,-73.993934,32321,0.6
12,W 21 St & 6 Ave,40.74173969,-73.99415556,32073,0.6
13,Lafayette St & E 8 St,40.73020661,-73.99102628,31572,0.6
14,Carmine St & 6 Ave,40.73038599,-74.00214988,30768,0.6
15,South End Ave & Liberty St,40.711512,-74.015756,30745,0.6
16,Broadway & W 25 St,40.74286877,-73.98918629,29993,0.6
17,W 41 St & 8 Ave,40.75640548,-73.9900262,29853,0.6
18,W 31 St & 7 Ave,40.749156,-73.9916,29605,0.55
19,W 38 St & 8 Ave,40.75466591,-73.99138152,29419,0.55
20,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,29372,0.55
21,Cleveland Pl & Spring St,40.72210379,-73.99724901,29056,0.55
22,1 Ave & E 16 St,40.73221853,-73.98165557,28914,0.55
23,Central Park S & 6 Ave,40.76590936,-73.97634151,28426,0.55
24,W 18 St & 6 Ave,40.73971301,-73.99456405,28113,0.55
25,E 47 St & Park Ave,40.75510267,-73.97498696,28080,0.55
26,E 13 St & Avenue A,40.72966729,-73.98067966,27897,0.55
27,Cooper Square & Astor Pl,40.72951496,-73.9907527,27656,0.55
28,Grand St & Elizabeth St,40.718822,-73.99596,27523,0.55
29,E 24 St & Park Ave S,40.74096374,-73.98602213,27247,0.55
30,Great Jones St,40.72743423,-73.99379025,26694,0.5
31,Broadway & W 29 St,40.7462009,-73.98855723,26462,0.5
32,Broadway & W 41 St,40.75513557,-73.98658032,26335,0.5
33,Washington St & Gansevoort St,40.739323,-74.008119,25687,0.5
34,E 10 St & Avenue A,40.72740794,-73.98142006,25473,0.5
35,W 22 St & 10 Ave,40.74691959,-74.00451887,25465,0.5
36,Vesey Pl & River Terrace,40.7153379,-74.01658354,25454,0.5
37,W 34 St & 11 Ave,40.75594159,-74.0021163,24974,0.5
38,Pier 40 - Hudson River Park,40.72771408,-74.01129574,24686,0.5
39,E 7 St & Avenue A,40.72621788,-73.98379855,24613,0.5
40,W 22 St & 8 Ave,40.74475148,-73.99915362,24113,0.45
41,Broadway & W 49 St,40.76068327,-73.98452729,24064,0.45
42,W 24 St & 7 Ave,40.74487634,-73.99529885,23931,0.45
43,MacDougal St & Prince St,40.72710258,-74.00297088,23674,0.45
44,Central Park West & W 72 St,40.77579377,-73.97620574,23582,0.45
45,North Moore St & Greenwich St,40.72019521,-74.01030064,23401,0.45
46,E 32 St & Park Ave,40.7457121,-73.98194829,23345,0.45
47,Allen St & Stanton St,40.722055,-73.989111,23258,0.45
48,Gansevoort St & Hudson St,40.7394482,-74.00507033,23241,0.45
49,W 52 St & 6 Ave,40.76132983,-73.97982001,23211,0.45
50,University Pl & E 14 St,40.73492695,-73.99200509,23198,0.45
51,W 25 St & 6 Ave,40.74395411,-73.99144871,22975,0.45
52,W 16 St & 8 Ave,40.74102151,-74.00138497,22954,0.45
53,11 Ave & W 27 St,40.751396,-74.005226,22725,0.45
54,W 26 St & 8 Ave,40.74734825,-73.99723551,22474,0.45
55,Lexington Ave & E 26 St,40.741459,-73.983293,22456,0.45
56,W 27 St & 7 Ave,40.746647,-73.993915,22432,0.45
57,W 4 St & 7 Ave S,40.73401143,-74.00293877,22409,0.45
58,E 16 St & 5 Ave,40.73726186,-73.99238967,22388,0.45
59,St Marks Pl & 1 Ave,40.72779126,-73.98564945,22294,0.45
60,1 Ave & E 68 St,40.76500525,-73.95818491,22101,0.45
61,Lafayette St & Jersey St,40.72430527,-73.99600983,22005,0.45
62,Barrow St & Hudson St,40.73172428,-74.00674436,21945,0.45
63,E 48 St & 5 Ave,40.75724568,-73.97805914,21917,0.45
64,E 33 St & 1 Ave,40.74322681,-73.97449784,21766,0.45
65,W 27 St & 10 Ave,40.75018156,-74.00218427,21722,0.45
66,E 20 St & 2 Ave,40.73587678,-73.98205027,21593,0.45
67,Centre St & Chambers St,40.71273266,-74.0046073,21473,0.4
68,9 Ave & W 45 St,40.76019252,-73.9912551,21411,0.4
69,Little West St & 1 Pl,40.70569254,-74.01677685,21369,0.4
70,Canal St & Rutgers St,40.71427487,-73.98990025,21320,0.4
71,E 15 St & 3 Ave,40.734232,-73.986923,21318,0.4
72,2 Ave & E 31 St,40.74290902,-73.97706058,21223,0.4
73,E 25 St & 2 Ave,40.73912601,-73.97973776,21184,0.4
74,E 11 St & 1 Ave,40.72953837,-73.98426726,21160,0.4
75,Columbus Ave & W 72 St,40.7770575,-73.97898475,21133,0.4
76,E 23 St & 1 Ave,40.736502,-73.97809472,20963,0.4
77,Central Park West & W 68 St,40.7734066,-73.97782542,20716,0.4
78,Pershing Square South,40.751581,-73.97791,20711,0.4
79,E 39 St & 2 Ave,40.74780373,-73.9734419,20688,0.4
80,W 20 St & 7 Ave,40.74238787,-73.99726235,20664,0.4
81,5 Ave & E 29 St,40.7451677,-73.98683077,20584,0.4
82,Greenwich St & W Houston St,40.728846,-74.008591,20511,0.4
83,1 Ave & E 18 St,40.73381219,-73.98054421,20486,0.4
84,5 Ave & E 88 St,40.78307,-73.95939,20459,0.4
85,W 16 St & The High Line,40.74334935,-74.00681753,20291,0.4
86,W 15 St & 7 Ave,40.73935542,-73.99931783,20249,0.4
87,5 Ave & E 73 St,40.77282817,-73.96685276,20110,0.4
88,W 13 St & 7 Ave,40.73781509,-73.99994661,20100,0.4
89,St Marks Pl & 2 Ave,40.7284186,-73.98713956,20048,0.4
90,E 4 St & 2 Ave,40.7262807,-73.98978041,19948,0.4
91,Mott St & Prince St,40.72317958,-73.99480012,19674,0.4
92,E 20 St & FDR Drive,40.73314259,-73.97573881,19674,0.4
93,11 Ave & W 41 St,40.76030096,-73.99884222,19573,0.4
94,E 31 St & 3 Ave,40.74394314,-73.97966069,19465,0.4
95,W 52 St & 5 Ave,40.75992262,-73.97648516,19446,0.4
96,7 Ave & Central Park South,40.76674056,-73.97906899,19424,0.4
97,W 26 St & 10 Ave,40.74971775,-74.00295035,19411,0.4
98,8 Ave & W 52 St,40.76370739,-73.9851615,19375,0.4
99,FDR Drive & E 35 St,40.744219,-73.97121214,19356,0.4
100,W 20 St & 8 Ave,40.74345335,-74.00004031,19341,0.4
101,Mercer St & Bleecker St,40.72706363,-73.99662137,19178,0.4
102,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,19037,0.4
103,E 2 St & Avenue A,40.72307749,-73.98583621,19036,0.4
104,Forsyth St & Broome St,40.71893904,-73.99266288,19005,0.4
105,11 Ave & W 59 St,40.77149671,-73.99046034,18961,0.4
106,Clinton St & Grand St,40.71559509,-73.9870295,18885,0.4
107,E 20 St & Park Ave,40.73827428,-73.98751968,18795,0.35
108,E 2 St & Avenue B,40.72217444,-73.98368779,18753,0.35
109,Allen St & Rivington St,40.72019576,-73.98997825,18587,0.35
110,W 13 St & 5 Ave,40.735445,-73.99431,18501,0.35
111,6 Ave & Canal St,40.72243797,-74.00566443,18381,0.35
112,E 6 St & Avenue B,40.72453734,-73.98185424,18360,0.35
113,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,18307,0.35
114,South St & Gouverneur Ln,40.70355377,-74.00670227,18261,0.35
115,Broadway & W 56 St,40.7652654,-73.98192338,18195,0.35
116,E 11 St & 2 Ave,40.73047309,-73.98672378,18189,0.35
117,W Broadway & Spring Street,40.72494672,-74.00165856,18187,0.35
118,E 39 St & 3 Ave,40.7489006,-73.97604882,18139,0.35
119,Sullivan St & Washington Sq,40.73047747,-73.99906065,18008,0.35
120,E 2 St & 2 Ave,40.72502876,-73.99069656,17836,0.35
121,Allen St & Hester St,40.71605866,-73.99190759,17819,0.35
122,W 49 St & 8 Ave,40.76227205,-73.98788205,17661,0.35
123,W 45 St & 8 Ave,40.75929124,-73.98859651,17581,0.35
124,Broadway & W 37 St,40.75172632,-73.98753523,17560,0.35
125,W 42 St & 8 Ave,40.7575699,-73.99098507,17487,0.35
126,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,17342,0.35
127,E 12 St & 3 Ave,40.73223272,-73.98889957,17265,0.35
128,W 43 St & 10 Ave,40.76009437,-73.99461843,17167,0.35
129,S 5 Pl & S 5 St,40.710451,-73.960876,17101,0.35
130,Mercer St & Spring St,40.72362738,-73.99949601,17079,0.35
131,Broadway & Battery Pl,40.70463334,-74.01361706,17066,0.35
132,Forsyth St & Canal St,40.7158155,-73.99422366,16947,0.35
133,1 Ave & E 78 St,40.77140426,-73.9535166,16881,0.35
134,E 33 St & 5 Ave,40.74765947,-73.98490707,16777,0.35
135,Greenwich Ave & Charles St,40.735238,-74.000271,16724,0.35
136,Fulton St & Broadway,40.711066,-74.009447,16688,0.35
137,W 15 St & 10 Ave,40.74275383,-74.00747359,16650,0.35
138,Stanton St & Chrystie St,40.72229346,-73.99147535,16617,0.35
139,6 Ave & Broome St,40.72430832,-74.00473036,16616,0.35
140,Lispenard St & Broadway,40.71939226,-74.00247214,16586,0.35
141,1 Ave & E 62 St,40.7612274,-73.96094022,16581,0.35
142,Kent Ave & N 7 St,40.72036775,-73.96165073,16576,0.35
143,Central Park West & W 85 St,40.78472675,-73.96961715,16445,0.35
144,W 42 St & Dyer Ave,40.75898481,-73.99379969,16381,0.35
145,W 52 St & 11 Ave,40.76727216,-73.99392888,16326,0.35
146,W 11 St & 6 Ave,40.73532427,-73.99800419,16324,0.35
147,W 47 St & 10 Ave,40.76269882,-73.99301222,16313,0.35
148,Howard St & Centre St,40.71910537,-73.99973337,16276,0.35
149,W 63 St & Broadway,40.77163851,-73.98261428,16203,0.35
150,E 41 St & Madison Ave,40.75216528,-73.97992194,16129,0.3
151,E 30 St & Park Ave S,40.74444921,-73.98303529,16124,0.3
152,N 6 St & Bedford Ave,40.71745169,-73.95850939,16097,0.3
153,E 58 St & 3 Ave,40.76095756,-73.96724467,15887,0.3
154,Broadway & W 38 St,40.75299641,-73.98721619,15880,0.3
155,E 11 St & Avenue B,40.72746421,-73.97950418,15849,0.3
156,W 37 St & 10 Ave,40.75660359,-73.9979009,15846,0.3
157,E 9 St & Avenue C,40.72521311,-73.97768752,15742,0.3
158,W 46 St & 11 Ave,40.76341379,-73.99667444,15742,0.3
