date,key,value
1/2019,Bronx,0
2/2019,Bronx,0
3/2019,Bronx,0
4/2019,Bronx,0
5/2019,Bronx,0
6/2019,Bronx,0
7/2019,Bronx,0
8/2019,Bronx,0
9/2019,Bronx,0
10/2019,Bronx,0
11/2019,Bronx,0
12/2019,Bronx,0
1/2020,Bronx,0
2/2020,Bronx,0
3/2020,Bronx,0
4/2020,Bronx,0
5/2020,Bronx,3267
6/2020,Bronx,9834
7/2020,Bronx,11572
8/2020,Bronx,15695
9/2020,Bronx,27324
10/2020,Bronx,32992
11/2020,Bronx,27584
12/2020,Bronx,13286
1/2021,Bronx,11332
2/2021,Bronx,5765
3/2021,Bronx,19946
4/2021,Bronx,31315
5/2021,Bronx,51837
6/2021,Bronx,73193
7/2021,Bronx,73621
8/2021,Bronx,69842
9/2021,Bronx,68376
1/2019,Brooklyn,176082
2/2019,Brooklyn,171002
3/2019,Brooklyn,240760
4/2019,Brooklyn,325786
5/2019,Brooklyn,361822
6/2019,Brooklyn,431374
7/2019,Brooklyn,412389
8/2019,Brooklyn,432681
9/2019,Brooklyn,447408
10/2019,Brooklyn,365356
11/2019,Brooklyn,255211
12/2019,Brooklyn,166792
1/2020,Brooklyn,221460
2/2020,Brooklyn,207336
3/2020,Brooklyn,205138
4/2020,Brooklyn,144850
5/2020,Brooklyn,335959
6/2020,Brooklyn,416187
7/2020,Brooklyn,439867
8/2020,Brooklyn,489552
9/2020,Brooklyn,498813
10/2020,Brooklyn,448241
11/2020,Brooklyn,342784
12/2020,Brooklyn,205535
1/2021,Brooklyn,199875
2/2021,Brooklyn,119143
3/2021,Brooklyn,316066
4/2021,Brooklyn,439224
5/2021,Brooklyn,590174
6/2021,Brooklyn,699390
7/2021,Brooklyn,695185
8/2021,Brooklyn,674819
9/2021,Brooklyn,704173
1/2019,Hudson,19605
2/2019,Hudson,18519
3/2019,Hudson,23570
4/2019,Hudson,33041
5/2019,Hudson,36123
6/2019,Hudson,39418
7/2019,Hudson,43739
8/2019,Hudson,48711
9/2019,Hudson,49241
10/2019,Hudson,42232
11/2019,Hudson,30773
12/2019,Hudson,19686
1/2020,Hudson,25969
2/2020,Hudson,22926
3/2020,Hudson,17635
4/2020,Hudson,9175
5/2020,Hudson,25049
6/2020,Hudson,36916
7/2020,Hudson,38668
8/2020,Hudson,43267
9/2020,Hudson,40378
10/2020,Hudson,43500
11/2020,Hudson,21240
12/2020,Hudson,11614
1/2021,Hudson,11539
2/2021,Hudson,4714
3/2021,Hudson,17063
4/2021,Hudson,23735
5/2021,Hudson,45017
6/2021,Hudson,71421
7/2021,Hudson,82547
8/2021,Hudson,93796
9/2021,Hudson,97276
1/2019,Manhattan,769529
2/2019,Manhattan,751465
3/2019,Manhattan,1054323
4/2019,Manhattan,1393962
5/2019,Manhattan,1512494
6/2019,Manhattan,1631895
7/2019,Manhattan,1701309
8/2019,Manhattan,1840232
9/2019,Manhattan,1929874
10/2019,Manhattan,1670895
11/2019,Manhattan,1186627
12/2019,Manhattan,765309
1/2020,Manhattan,988692
2/2020,Manhattan,910957
3/2020,Manhattan,829268
4/2020,Manhattan,506383
5/2020,Manhattan,1068919
6/2020,Manhattan,1361208
7/2020,Manhattan,1559580
8/2020,Manhattan,1723655
9/2020,Manhattan,1863649
10/2020,Manhattan,1683875
11/2020,Manhattan,1302574
12/2020,Manhattan,833123
1/2021,Manhattan,799290
2/2021,Manhattan,499529
3/2021,Manhattan,1129943
4/2021,Manhattan,1510729
5/2021,Manhattan,1972850
6/2021,Manhattan,2276553
7/2021,Manhattan,2185107
8/2021,Manhattan,2197394
9/2021,Manhattan,2372034
1/2019,Queens,21503
2/2019,Queens,21160
3/2019,Queens,32798
4/2019,Queens,46323
5/2019,Queens,50183
6/2019,Queens,62087
7/2019,Queens,67284
8/2019,Queens,71209
9/2019,Queens,67614
10/2019,Queens,56247
11/2019,Queens,36668
12/2019,Queens,22455
1/2020,Queens,30064
2/2020,Queens,28188
3/2020,Queens,33599
4/2020,Queens,31120
5/2020,Queens,79636
6/2020,Queens,94981
7/2020,Queens,94739
8/2020,Queens,100546
9/2020,Queens,98387
10/2020,Queens,83534
11/2020,Queens,63419
12/2020,Queens,36062
1/2021,Queens,36991
2/2021,Queens,24037
3/2021,Queens,64327
4/2021,Queens,85808
5/2021,Queens,108739
6/2021,Queens,128101
7/2021,Queens,130346
8/2021,Queens,130082
9/2021,Queens,135380
