date,trip_weekavg,CASE_COUNT_7DAY_AVG,tempmax_weekavg
1/1/2019,,,
1/2/2019,,,
1/3/2019,,,
1/4/2019,33626,,45.57142857
1/5/2019,36434.14286,,43.71428571
1/6/2019,37371.42857,,44.42857143
1/7/2019,36975.14286,,43
1/8/2019,35360.14286,,40.57142857
1/9/2019,36478.85714,,38.71428571
1/10/2019,35217.28571,,36.42857143
1/11/2019,34995,,36.14285714
1/12/2019,34699.57143,,34.85714286
1/13/2019,34132.14286,,34
1/14/2019,34135.14286,,33.85714286
1/15/2019,34337.14286,,35.14285714
1/16/2019,34135.28571,,35.57142857
1/17/2019,32902.71429,,36.85714286
1/18/2019,29293.71429,,34.28571429
1/19/2019,27758.14286,,33.57142857
1/20/2019,27920.14286,,35.42857143
1/21/2019,25167.71429,,39.14285714
1/22/2019,25831.28571,,39.28571429
1/23/2019,26204,,39
1/24/2019,28492.28571,,40
1/25/2019,32189.57143,,43.42857143
1/26/2019,32531.71429,,45.14285714
1/27/2019,30139.14286,,42.71428571
1/28/2019,29923.42857,,36.57142857
1/29/2019,27912.85714,,33.85714286
1/30/2019,27283.57143,,33.71428571
1/31/2019,27561.71429,,34.28571429
2/1/2019,29124.57143,,37.57142857
2/2/2019,32498,,40.71428571
2/3/2019,34562,,42.28571429
2/4/2019,38135.28571,,46.28571429
2/5/2019,39807.42857,,51.14285714
2/6/2019,40074,,50.85714286
2/7/2019,38943.57143,,48.28571429
2/8/2019,37822,,45
2/9/2019,32245,,40.85714286
2/10/2019,31614.14286,,40.14285714
2/11/2019,31401.71429,,40.42857143
2/12/2019,32913,,41
2/13/2019,33957.28571,,43.14285714
2/14/2019,33941.85714,,43.57142857
2/15/2019,32056.71429,,44.14285714
2/16/2019,34805.71429,,44.14285714
2/17/2019,32700.71429,,43
2/18/2019,32374.85714,,43.85714286
2/19/2019,31640.57143,,41.71428571
2/20/2019,31729.14286,,41
2/21/2019,31758.42857,,42.28571429
2/22/2019,32988.85714,,42.42857143
2/23/2019,33398.85714,,42.42857143
2/24/2019,35736.28571,,42.14285714
2/25/2019,35560.85714,,40
2/26/2019,33870,,38.71428571
2/27/2019,31895,,38.57142857
2/28/2019,31743.85714,,37.85714286
3/1/2019,30894,,37.14285714
3/2/2019,30820.42857,,36.57142857
3/3/2019,30349.85714,,35.85714286
3/4/2019,30011,,35.14285714
3/5/2019,31492.42857,,35.71428571
3/6/2019,34527.57143,,36.85714286
3/7/2019,33901.71429,,37
3/8/2019,37401.85714,,39.14285714
3/9/2019,38883.57143,,40.85714286
3/10/2019,41322,,44.14285714
3/11/2019,44437.85714,,47.71428571
3/12/2019,46913.28571,,52.85714286
3/13/2019,47382.85714,,54.14285714
3/14/2019,49980,,54.42857143
3/15/2019,49125.28571,,53.42857143
3/16/2019,49950.71429,,54.42857143
3/17/2019,50715.57143,,55
3/18/2019,45460,,53.42857143
3/19/2019,42258.14286,,49.71428571
3/20/2019,41550.57143,,48.28571429
3/21/2019,43510.71429,,50.42857143
3/22/2019,44520,,51.85714286
3/23/2019,44877.42857,,51.57142857
3/24/2019,44752,,50.71428571
3/25/2019,50152.14286,,51.71428571
3/26/2019,53614.14286,,53.14285714
3/27/2019,57851,,56.28571429
3/28/2019,55297.57143,,57
3/29/2019,54987.42857,,55.57142857
3/30/2019,55352.57143,,56
3/31/2019,57298,,58.85714286
4/1/2019,58456.85714,,59.85714286
4/2/2019,54866.28571,,57.85714286
4/3/2019,54857.71429,,57.57142857
4/4/2019,59497.71429,,57.71428571
4/5/2019,62284.57143,,62.42857143
4/6/2019,62494.57143,,62.28571429
4/7/2019,62950.57143,,61.28571429
4/8/2019,62378.42857,,60.57142857
4/9/2019,65787.14286,,63.85714286
4/10/2019,66516,,65.14285714
4/11/2019,65623.14286,,66.14285714
4/12/2019,62020.42857,,64.14285714
4/13/2019,62609,,66.28571429
4/14/2019,61779,,66.71428571
4/15/2019,61670.42857,,67.71428571
4/16/2019,62683.28571,,69.42857143
4/17/2019,57639.57143,,67.57142857
4/18/2019,56678.57143,,66.57142857
4/19/2019,56459.42857,,66.42857143
4/20/2019,58216.57143,,68
4/21/2019,60042.71429,,68.85714286
4/22/2019,59932.57143,,69.42857143
4/23/2019,55903.57143,,66.42857143
4/24/2019,58774.28571,,65.57142857
4/25/2019,57221.71429,,63.71428571
4/26/2019,59647,,63.14285714
4/27/2019,57794.71429,,60.71428571
4/28/2019,55345.71429,,58.85714286
4/29/2019,56474.14286,,60.57142857
4/30/2019,60146.42857,,60.14285714
5/1/2019,60104.85714,,62
5/2/2019,56476.57143,,62.71428571
5/3/2019,57794.85714,,64.71428571
5/4/2019,59277.85714,,66.14285714
5/5/2019,61525.85714,,68.28571429
5/6/2019,61249.85714,,65.85714286
5/7/2019,62077,,68.28571429
5/8/2019,64054.71429,,68
5/9/2019,63262.28571,,68.14285714
5/10/2019,56337.42857,,64.42857143
5/11/2019,51965,,61.85714286
5/12/2019,51665.42857,,61.57142857
5/13/2019,53289,,63.28571429
5/14/2019,53869.57143,,63.71428571
5/15/2019,54363.14286,,64.57142857
5/16/2019,62967.42857,,67
5/17/2019,70558.85714,,72.28571429
5/18/2019,75843.71429,,75
5/19/2019,76948.71429,,75.71428571
5/20/2019,73832.71429,,75.57142857
5/21/2019,74222.71429,,75.14285714
5/22/2019,72226.28571,,74.57142857
5/23/2019,69315.14286,,76
5/24/2019,68144.57143,,75.28571429
5/25/2019,65270.42857,,75.28571429
5/26/2019,61351,,74.71428571
5/27/2019,60749.57143,,74.42857143
5/28/2019,61966.57143,,75.42857143
5/29/2019,64442.85714,,76.71428571
5/30/2019,66960.85714,,76
5/31/2019,68574.57143,,74.57142857
6/1/2019,72049,,74.42857143
6/2/2019,75496.28571,,76
6/3/2019,79707.28571,,77.85714286
6/4/2019,79670.85714,,78
6/5/2019,79890.28571,,78.14285714
6/6/2019,80876.42857,,77.71428571
6/7/2019,74993.71429,,77.71428571
6/8/2019,74224.71429,,78.71428571
6/9/2019,75138,,77.71428571
6/10/2019,70454.71429,,75.14285714
6/11/2019,70118.85714,,74
6/12/2019,69518,,74
6/13/2019,66835.57143,,74.28571429
6/14/2019,71996.28571,,75.14285714
6/15/2019,65947.14286,,74.57142857
6/16/2019,62847.28571,,74.14285714
6/17/2019,64428.71429,,76
6/18/2019,62247.14286,,76.57142857
6/19/2019,62661,,76.28571429
6/20/2019,65557.57143,,76.71428571
6/21/2019,66632.28571,,77.85714286
6/22/2019,70920.14286,,79.42857143
6/23/2019,73760.71429,,81.71428571
6/24/2019,76898.14286,,83.28571429
6/25/2019,78817.57143,,85
6/26/2019,76809.42857,,86.71428571
6/27/2019,75105.28571,,86.71428571
6/28/2019,74856.14286,,86.85714286
6/29/2019,76654.57143,,87
6/30/2019,75373.42857,,87
7/1/2019,71217.71429,,87.14285714
7/2/2019,68293.71429,,86.71428571
7/3/2019,66559.71429,,86.57142857
7/4/2019,66231.71429,,87
7/5/2019,64742.14286,,86
7/6/2019,65536.14286,,86.28571429
7/7/2019,66973.71429,,86.42857143
7/8/2019,67200.42857,,86
7/9/2019,70476.42857,,86.14285714
7/10/2019,74251.42857,,85.42857143
7/11/2019,75190.14286,,85.85714286
7/12/2019,77085.28571,,86.85714286
7/13/2019,77224,,87.42857143
7/14/2019,75040.57143,,88.14285714
7/15/2019,76001.42857,,87
7/16/2019,75136.85714,,87.57142857
7/17/2019,71321.42857,,89
7/18/2019,68465,,89.85714286
7/19/2019,64312,,90.57142857
7/20/2019,61643.57143,,88.14285714
7/21/2019,64320.71429,,86.71428571
7/22/2019,68020.42857,,87.42857143
7/23/2019,69141.14286,,87
7/24/2019,72295.28571,,85.57142857
7/25/2019,75110.57143,,84.57142857
7/26/2019,78941,,84.57142857
7/27/2019,81053,,87.14285714
7/28/2019,77866.71429,,87.71428571
7/29/2019,78055.57143,,88.14285714
7/30/2019,77981.42857,,87.57142857
7/31/2019,78716.71429,,87.71428571
8/1/2019,78602.57143,,87.57142857
8/2/2019,79137.85714,,86.42857143
8/3/2019,79402.71429,,84.57142857
8/4/2019,77452,,84.14285714
8/5/2019,76281.28571,,83.71428571
8/6/2019,75983,,83.57142857
8/7/2019,76769.28571,,82.85714286
8/8/2019,77717.85714,,81.85714286
8/9/2019,77572.42857,,82.28571429
8/10/2019,76480,,82.28571429
8/11/2019,79897.14286,,82.28571429
8/12/2019,80655.85714,,82.42857143
8/13/2019,80856,,81.85714286
8/14/2019,80166.28571,,82.71428571
8/15/2019,77699.71429,,84.14285714
8/16/2019,76618,,84.85714286
8/17/2019,77684.28571,,86.14285714
8/18/2019,77303.57143,,86.57142857
8/19/2019,75690.85714,,87.28571429
8/20/2019,73099.71429,,86.57142857
8/21/2019,72568.71429,,85
8/22/2019,74828.57143,,83.14285714
8/23/2019,75557.85714,,80.85714286
8/24/2019,75609.42857,,79
8/25/2019,74471.14286,,77.14285714
8/26/2019,75861,,75.85714286
8/27/2019,77759.14286,,77.57142857
8/28/2019,76297.57143,,78.28571429
8/29/2019,74952.28571,,78.42857143
8/30/2019,68938.42857,,78.42857143
8/31/2019,69088.57143,,79.42857143
9/1/2019,71953.57143,,81.28571429
9/2/2019,72871.85714,,80.28571429
9/3/2019,69722.71429,,77.57142857
9/4/2019,71770.71429,,76.71428571
9/5/2019,73184.28571,,76.57142857
9/6/2019,80045.42857,,77.14285714
9/7/2019,80592.28571,,76.28571429
9/8/2019,81396.85714,,76.42857143
9/9/2019,78556.85714,,77.42857143
9/10/2019,83271.57143,,78.14285714
9/11/2019,82853.57143,,78
9/12/2019,83810.71429,,78.71428571
9/13/2019,83415.85714,,78.57142857
9/14/2019,84217.85714,,78.57142857
9/15/2019,84183.14286,,75.85714286
9/16/2019,87022.14286,,74.28571429
9/17/2019,87432.14286,,75.14285714
9/18/2019,90828.71429,,76.57142857
9/19/2019,90447.85714,,77.14285714
9/20/2019,90941.28571,,78.85714286
9/21/2019,90944.57143,,78.85714286
9/22/2019,91485.42857,,80.28571429
