,date,weekavg,total_trips
0,1/1/2019,,22393
1,1/2/2019,,38624
2,1/3/2019,,42536
3,1/4/2019,33626,44822
4,1/5/2019,36434.14286,17740
5,1/6/2019,37371.42857,31961
6,1/7/2019,36975.14286,37306
7,1/8/2019,35360.14286,42050
8,1/9/2019,36478.85714,45185
9,1/10/2019,35217.28571,39762
10,1/11/2019,34995,33517
11,1/12/2019,34699.57143,25571
12,1/13/2019,34132.14286,23130
13,1/14/2019,34135.14286,35750
14,1/15/2019,34337.14286,39982
15,1/16/2019,34135.28571,41213
16,1/17/2019,32902.71429,39783
17,1/18/2019,29293.71429,34931
18,1/19/2019,27758.14286,24158
19,1/20/2019,27920.14286,14502
20,1/21/2019,25167.71429,10487
21,1/22/2019,25831.28571,29233
22,1/23/2019,26204,42347
23,1/24/2019,28492.28571,20516
24,1/25/2019,32189.57143,39576
25,1/26/2019,32531.71429,26767
26,1/27/2019,30139.14286,30520
27,1/28/2019,29923.42857,36368
28,1/29/2019,27912.85714,31628
29,1/30/2019,27283.57143,25599
30,1/31/2019,27561.71429,19006
31,2/1/2019,29124.57143,25502
32,2/2/2019,32498,22362
33,2/3/2019,34562,32467
34,2/4/2019,38135.28571,47308
35,2/5/2019,39807.42857,55242
36,2/6/2019,40074,40047
37,2/7/2019,38943.57143,44019
38,2/8/2019,37822,37207
39,2/9/2019,32245,24228
40,2/10/2019,31614.14286,24554
41,2/11/2019,31401.71429,39457
42,2/12/2019,32913,16203
43,2/13/2019,33957.28571,35631
44,2/14/2019,33941.85714,42532
45,2/15/2019,32056.71429,47786
46,2/16/2019,34805.71429,31538
47,2/17/2019,32700.71429,24446
48,2/18/2019,32374.85714,26261
49,2/19/2019,31640.57143,35446
50,2/20/2019,31729.14286,20896
51,2/21/2019,31758.42857,40251
52,2/22/2019,32988.85714,42646
53,2/23/2019,33398.85714,32158
54,2/24/2019,35736.28571,24651
55,2/25/2019,35560.85714,34874
56,2/26/2019,33870,38316
57,2/27/2019,31895,37258
58,2/28/2019,31743.85714,39023
59,3/1/2019,30894,30810
60,3/2/2019,30820.42857,18333
61,3/3/2019,30349.85714,23593
