DATE,weekavg,TempMax
1/1/2019,,58
1/2/2019,,40
1/3/2019,,44
1/4/2019,45.57142857,47
1/5/2019,43.71428571,47
1/6/2019,44.42857143,49
1/7/2019,43,34
1/8/2019,40.57142857,45
1/9/2019,38.71428571,45
1/10/2019,36.42857143,34
1/11/2019,36.14285714,30
1/12/2019,34.85714286,34
1/13/2019,34,33
1/14/2019,33.85714286,32
1/15/2019,35.14285714,36
1/16/2019,35.57142857,39
1/17/2019,36.85714286,33
1/18/2019,34.28571429,39
1/19/2019,33.57142857,37
1/20/2019,35.42857143,42
1/21/2019,39.14285714,14
1/22/2019,39.28571429,31
1/23/2019,39,52
1/24/2019,40,59
1/25/2019,43.42857143,40
1/26/2019,45.14285714,35
1/27/2019,42.71428571,49
1/28/2019,36.57142857,38
1/29/2019,33.85714286,43
1/30/2019,33.71428571,35
1/31/2019,34.28571429,16
2/1/2019,37.57142857,21
2/2/2019,40.71428571,34
2/3/2019,42.28571429,53
2/4/2019,46.28571429,61
2/5/2019,51.14285714,65
2/6/2019,50.85714286,46
2/7/2019,48.28571429,44
2/8/2019,45,55
2/9/2019,40.85714286,32
2/10/2019,40.14285714,35
2/11/2019,40.42857143,38
2/12/2019,41,36
2/13/2019,43.14285714,41
2/14/2019,43.57142857,46
2/15/2019,44.14285714,59
2/16/2019,44.14285714,47
2/17/2019,43,38
2/18/2019,43.85714286,42
2/19/2019,41.71428571,36
2/20/2019,41,33
2/21/2019,42.28571429,52
2/22/2019,42.42857143,44
2/23/2019,42.42857143,42
2/24/2019,42.14285714,47
2/25/2019,40,43
2/26/2019,38.71428571,36
2/27/2019,38.57142857,31
2/28/2019,37.85714286,37
3/1/2019,37.14285714,35
3/2/2019,36.57142857,41
3/3/2019,35.85714286,42
3/4/2019,35.14285714,38
3/5/2019,35.71428571,32
3/6/2019,36.85714286,26
3/7/2019,37,32
3/8/2019,39.14285714,39
3/9/2019,40.85714286,49
3/10/2019,44.14285714,43
3/11/2019,47.71428571,53
3/12/2019,52.85714286,44
3/13/2019,54.14285714,49
3/14/2019,54.42857143,57
3/15/2019,53.42857143,75
3/16/2019,54.42857143,58
3/17/2019,55,45
3/18/2019,53.42857143,46
3/19/2019,49.71428571,51
3/20/2019,48.28571429,53
3/21/2019,50.42857143,46
3/22/2019,51.85714286,49
3/23/2019,51.57142857,48
3/24/2019,50.71428571,60
3/25/2019,51.71428571,56
3/26/2019,53.14285714,49
3/27/2019,56.28571429,47
3/28/2019,57,53
3/29/2019,55.57142857,59
3/30/2019,56,70
3/31/2019,58.85714286,65
4/1/2019,59.85714286,46
4/2/2019,57.85714286,52
4/3/2019,57.57142857,67
4/4/2019,57.71428571,60
4/5/2019,62.42857143,45
4/6/2019,62.28571429,68
4/7/2019,61.28571429,66
4/8/2019,60.57142857,79
4/9/2019,63.85714286,51
4/10/2019,65.14285714,60
4/11/2019,66.14285714,55
4/12/2019,64.14285714,68
4/13/2019,66.28571429,77
4/14/2019,66.71428571,73
4/15/2019,67.71428571,65
4/16/2019,69.42857143,66
4/17/2019,67.57142857,63
4/18/2019,66.57142857,62
4/19/2019,66.42857143,80
4/20/2019,68,64
4/21/2019,68.85714286,66
4/22/2019,69.42857143,64
4/23/2019,66.42857143,77
4/24/2019,65.57142857,69
4/25/2019,63.71428571,66
4/26/2019,63.14285714,59
4/27/2019,60.71428571,58
4/28/2019,58.85714286,53
4/29/2019,60.57142857,60
4/30/2019,60.14285714,60
5/1/2019,62,56
5/2/2019,62.71428571,78
5/3/2019,64.71428571,56
5/4/2019,66.14285714,71
5/5/2019,68.28571429,58
5/6/2019,65.85714286,74
5/7/2019,68.28571429,70
5/8/2019,68,71
5/9/2019,68.14285714,61
5/10/2019,64.42857143,73
5/11/2019,61.85714286,69
5/12/2019,61.57142857,59
5/13/2019,63.28571429,48
5/14/2019,63.71428571,52
5/15/2019,64.57142857,69
5/16/2019,67,73
5/17/2019,72.28571429,76
5/18/2019,75,75
5/19/2019,75.71428571,76
5/20/2019,75.57142857,85
5/21/2019,75.14285714,71
5/22/2019,74.57142857,74
5/23/2019,76,72
5/24/2019,75.28571429,73
5/25/2019,75.28571429,71
5/26/2019,74.71428571,86
5/27/2019,74.42857143,80
5/28/2019,75.42857143,71
5/29/2019,76.71428571,70
5/30/2019,76,70
5/31/2019,74.57142857,80
6/1/2019,74.42857143,80
6/2/2019,76,81
6/3/2019,77.85714286,70
6/4/2019,78,70
6/5/2019,78.14285714,81
6/6/2019,77.71428571,83
6/7/2019,77.71428571,81
6/8/2019,78.71428571,81
6/9/2019,77.71428571,78
6/10/2019,75.14285714,70
6/11/2019,74,77
6/12/2019,74,74
6/13/2019,74.28571429,65
6/14/2019,75.14285714,73
6/15/2019,74.57142857,81
6/16/2019,74.14285714,80
6/17/2019,76,76
6/18/2019,76.57142857,73
6/19/2019,76.28571429,71
6/20/2019,76.71428571,78
6/21/2019,77.85714286,77
6/22/2019,79.42857143,79
6/23/2019,81.71428571,83
6/24/2019,83.28571429,84
6/25/2019,85,84
6/26/2019,86.71428571,87
6/27/2019,86.71428571,89
6/28/2019,86.85714286,89
6/29/2019,87,91
6/30/2019,87,83
7/1/2019,87.14285714,85
7/2/2019,86.71428571,85
7/3/2019,86.57142857,87
7/4/2019,87,90
7/5/2019,86,86
7/6/2019,86.28571429,90
7/7/2019,86.42857143,86
7/8/2019,86,78
7/9/2019,86.14285714,87
7/10/2019,85.42857143,88
7/11/2019,85.85714286,87
7/12/2019,86.85714286,87
7/13/2019,87.42857143,85
7/14/2019,88.14285714,89
7/15/2019,87,85
7/16/2019,87.57142857,91
7/17/2019,89,93
7/18/2019,89.85714286,79
7/19/2019,90.57142857,91
7/20/2019,88.14285714,95
7/21/2019,86.71428571,95
7/22/2019,87.42857143,90
7/23/2019,87,74
7/24/2019,85.57142857,83
7/25/2019,84.57142857,84
7/26/2019,84.57142857,88
7/27/2019,87.14285714,85
7/28/2019,87.71428571,88
7/29/2019,88.14285714,90
7/30/2019,87.57142857,92
7/31/2019,87.71428571,87
8/1/2019,87.57142857,87
8/2/2019,86.42857143,84
8/3/2019,84.57142857,86
8/4/2019,84.14285714,87
8/5/2019,83.71428571,82
8/6/2019,83.57142857,79
8/7/2019,82.85714286,84
8/8/2019,81.85714286,84
8/9/2019,82.28571429,83
8/10/2019,82.28571429,81
8/11/2019,82.28571429,80
