date19,avg19,avg21
2019-03-01,10.8416815,12.181378
2019-03-02,12.054677,11.509283
2019-03-03,11.995539,13.59545
2019-03-04,10.86623,12.1007395
2019-03-05,10.646473,12.029058
2019-03-06,10.171818,13.127138
2019-03-07,10.253746,14.644226
2019-03-08,10.8885765,12.5550785
2019-03-09,13.84276,14.992096
2019-03-10,11.477567,13.77441
2019-03-11,12.097828,15.594888
2019-03-12,11.059621,15.702326
2019-03-13,11.216047,16.68798
2019-03-14,11.935225,15.890729
2019-03-15,12.96642,11.863834
2019-03-16,13.632707,11.857264
2019-03-17,13.589781,12.697019
2019-03-18,11.484642,11.328514
2019-03-19,11.58562,12.625181
2019-03-20,11.8394575,17.952835
2019-03-21,9.783351,19.479671
2019-03-22,11.047882,14.991636
2019-03-23,12.887836,15.466356
2019-03-24,15.695851,12.819619
2019-03-25,11.616668,15.766271
2019-03-26,11.476474,16.230158
2019-03-27,11.339316,20.54702
2019-03-28,11.720621,14.985085
2019-03-29,12.184421,14.684029
2019-03-30,16.878794,15.807117
2019-03-31,12.160085,13.482281
2019-04-01,11.307555,13.303319
2019-04-02,11.276315,12.746602
2019-04-03,12.512529,17.43211
2019-04-04,12.274014,18.72749
2019-04-05,10.556853,15.416526
2019-04-06,16.798923,15.87491
2019-04-07,16.475048,15.56532
2019-04-08,13.563943,15.821699
2019-04-09,11.258191,14.622593
2019-04-10,12.439566,18.84636
2019-04-11,11.6260395,13.06157
2019-04-12,12.440982,11.870204
2019-04-13,17.30559,15.404582
2019-04-14,16.046972,14.983181
2019-04-15,12.007595,12.106248
2019-04-16,13.030479,13.422357
2019-04-17,13.055939,17.18445
2019-04-18,12.496169,18.260292
2019-04-19,14.480156,14.794071
2019-04-20,14.4832535,16.242964
2019-04-21,16.969088,12.955541
2019-04-22,12.496252,12.653872
2019-04-23,14.711993,15.272136
2019-04-24,14.511143,19.339964
2019-04-25,12.9005,16.09169
2019-04-26,11.522486,14.309114
2019-04-27,15.382006,14.491436
2019-04-28,12.94677,16.104202
2019-04-29,12.674431,13.593656
2019-04-30,12.459566,14.210144
2019-05-01,12.036933,18.273434
2019-05-02,13.214981,18.930077
2019-05-03,12.674726,13.570199
2019-05-04,15.854378,15.030042
2019-05-05,11.479418,12.5595455
2019-05-06,13.661161,15.07052
2019-05-07,13.596008,14.926325
2019-05-08,13.466559,14.333579
2019-05-09,12.473965,16.142002
2019-05-10,13.341026,13.801023
2019-05-11,17.103325,14.468426
2019-05-12,10.910485,14.856736
2019-05-13,10.366792,15.445869
2019-05-14,11.335232,16.185392
2019-05-15,13.738637,18.939037
2019-05-16,14.062766,18.270636
2019-05-17,13.827415,15.717219
2019-05-18,17.22468,15.839274
2019-05-19,17.231022,15.726326
2019-05-20,14.100286,15.57457
2019-05-21,13.821085,16.327396
2019-05-22,13.801968,18.373768
2019-05-23,12.902746,18.53973
2019-05-24,14.819047,14.778178
2019-05-25,17.835497,15.532533
2019-05-26,18.112562,14.707322
2019-05-27,18.509647,15.818701
2019-05-28,12.699619,14.065481
2019-05-29,12.498282,13.317864
2019-05-30,12.6251,12.106784
2019-05-31,14.864448,18.707846
2019-06-01,16.836672,15.278138
2019-06-02,16.880554,15.003846
2019-06-03,14.310092,13.486245
2019-06-04,14.150145,14.745233
2019-06-05,13.422313,18.103477
2019-06-06,13.910135,17.880129
2019-06-07,14.267523,15.104398
2019-06-08,17.40849,13.999897
2019-06-09,17.54194,14.825002
2019-06-10,11.465419,15.349532
2019-06-11,14.0068035,14.893337
2019-06-12,14.019761,17.698605
2019-06-13,12.734965,17.714128
2019-06-14,14.218271,14.775747
2019-06-15,17.185398,15.682614
2019-06-16,15.512834,15.587548
2019-06-17,13.467161,15.585632
2019-06-18,11.6670885,16.024181
2019-06-19,12.5285,17.034817
2019-06-20,12.834216,17.810703
2019-06-21,14.122655,15.090383
2019-06-22,17.317598,13.207084
2019-06-23,17.377577,15.504125
2019-06-24,14.0393305,15.392398
2019-06-25,13.352374,15.663075
2019-06-26,13.9492,17.353191
2019-06-27,14.038011,17.60261
2019-06-28,14.152439,14.6216345
2019-06-29,15.67318,14.187041
2019-06-30,17.177898,13.520828
