value,year,key
424182.0,1,2019
897005.0,3,2019
978500.0,5,2019
856658.0,7,2019
694332.0,9,2019
555517.0,11,2019
451110.0,13,2019
370008.0,15,2019
309185.0,17,2019
266031.0,19,2019
231739.0,21,2019
203177.0,23,2019
178858.0,25,2019
155007.0,27,2019
125293.0,29,2019
98217.0,31,2019
80027.0,33,2019
67351.0,35,2019
56631.0,37,2019
47411.0,39,2019
38545.0,41,2019
30455.0,43,2019
19759.0,45,2019
14888.0,47,2019
12020.0,49,2019
10080.0,51,2019
8809.0,53,2019
7659.0,55,2019
6859.0,57,2019
2993.0,59,2019
231807.0,1,2020
392116.0,3,2020
437887.0,5,2020
413929.0,7,2020
372236.0,9,2020
332204.0,11,2020
299690.0,13,2020
272325.0,15,2020
250553.0,17,2020
233531.0,19,2020
218662.0,21,2020
207034.0,23,2020
194601.0,25,2020
179918.0,27,2020
159634.0,29,2020
133607.0,31,2020
115759.0,33,2020
102035.0,35,2020
90002.0,37,2020
78476.0,39,2020
68415.0,41,2020
56850.0,43,2020
41966.0,45,2020
32524.0,47,2020
26789.0,49,2020
22453.0,51,2020
19517.0,53,2020
17025.0,55,2020
14561.0,57,2020
6779.0,59,2020
555068.0,1,2021
978267.0,3,2021
1087891.0,5,2021
1008174.0,7,2021
869837.0,9,2021
734206.0,11,2021
613001.0,13,2021
511610.0,15,2021
432386.0,17,2021
365857.0,19,2021
312772.0,21,2021
269116.0,23,2021
234068.0,25,2021
202801.0,27,2021
174272.0,29,2021
145832.0,31,2021
123665.0,33,2021
105521.0,35,2021
91082.0,37,2021
78209.0,39,2021
66443.0,41,2021
55224.0,43,2021
44805.0,45,2021
36421.0,47,2021
30682.0,49,2021
26123.0,51,2021
22646.0,53,2021
19712.0,55,2021
17446.0,57,2021
8212.0,59,2021
