date,CASE_COUNT,CASE_COUNT_7DAY_AVG
2/29/2020,1,0
3/1/2020,0,0
3/2/2020,0,0
3/3/2020,1,0
3/4/2020,5,0
3/5/2020,3,0
3/6/2020,8,3
3/7/2020,7,3
3/8/2020,21,6
3/9/2020,57,15
3/10/2020,69,24
3/11/2020,155,46
3/12/2020,355,96
3/13/2020,619,183
3/14/2020,642,274
3/15/2020,1035,419
3/16/2020,2121,714
3/17/2020,2452,1054
3/18/2020,2971,1456
3/19/2020,3706,1935
3/20/2020,4006,2419
3/21/2020,2639,2704
3/22/2020,2580,2925
3/23/2020,3570,3132
3/24/2020,4498,3424
3/25/2020,4875,3696
3/26/2020,5044,3887
3/27/2020,5119,4046
3/28/2020,3479,4166
3/29/2020,3560,4306
3/30/2020,6129,4672
3/31/2020,5458,4809
4/1/2020,5449,4891
4/2/2020,5747,4992
4/3/2020,5669,5070
4/4/2020,3864,5125
4/5/2020,3780,5157
4/6/2020,6353,5189
4/7/2020,6043,5272
4/8/2020,5576,5290
4/9/2020,5071,5194
4/10/2020,4510,5028
4/11/2020,3733,5009
4/12/2020,2888,4882
4/13/2020,3311,4447
4/14/2020,4144,4176
4/15/2020,3876,3933
4/16/2020,3530,3713
4/17/2020,3585,3581
4/18/2020,2172,3358
4/19/2020,2344,3280
4/20/2020,3792,3349
4/21/2020,3063,3195
4/22/2020,3447,3133
4/23/2020,2841,3035
4/24/2020,2535,2885
4/25/2020,1595,2802
4/26/2020,1003,2611
4/27/2020,2290,2396
4/28/2020,2726,2348
4/29/2020,2340,2190
4/30/2020,2022,2073
5/1/2020,1887,1980
5/2/2020,1058,1904
5/3/2020,787,1873
5/4/2020,1549,1767
5/5/2020,1512,1594
5/6/2020,1398,1459
5/7/2020,1239,1347
5/8/2020,1080,1232
5/9/2020,657,1175
5/10/2020,457,1127
5/11/2020,1232,1082
5/12/2020,1285,1050
5/13/2020,1333,1040
5/14/2020,1110,1022
5/15/2020,873,992
5/16/2020,485,968
5/17/2020,360,954
5/18/2020,895,906
5/19/2020,1003,866
5/20/2020,1077,829
5/21/2020,1069,823
5/22/2020,1036,846
5/23/2020,455,842
5/24/2020,467,857
5/25/2020,464,796
5/26/2020,1050,803
5/27/2020,741,755
5/28/2020,646,694
5/29/2020,639,637
5/30/2020,346,622
5/31/2020,230,588
6/1/2020,686,620
6/2/2020,571,551
6/3/2020,515,519
6/4/2020,519,501
6/5/2020,402,467
6/6/2020,247,453
6/7/2020,197,448
6/8/2020,447,414
6/9/2020,419,392
6/10/2020,363,371
6/11/2020,363,348
6/12/2020,409,349
6/13/2020,196,342
6/14/2020,180,340
6/15/2020,380,330
6/16/2020,419,330
6/17/2020,356,329
6/18/2020,378,331
6/19/2020,361,324
6/20/2020,203,325
6/21/2020,172,324
6/22/2020,402,327
6/23/2020,381,322
6/24/2020,381,325
6/25/2020,298,314
6/26/2020,317,308
6/27/2020,206,308
6/28/2020,201,312
6/29/2020,437,317
6/30/2020,441,326
7/1/2020,395,328
7/2/2020,416,345
7/3/2020,234,333
7/4/2020,120,321
7/5/2020,155,314
7/6/2020,431,313
7/7/2020,461,316
7/8/2020,437,322
7/9/2020,391,318
7/10/2020,306,329
7/11/2020,259,349
7/12/2020,223,358
7/13/2020,483,366
7/14/2020,402,357
7/15/2020,440,358
7/16/2020,411,361
7/17/2020,413,376
7/18/2020,216,370
7/19/2020,176,363
7/20/2020,401,351
7/21/2020,340,342
7/22/2020,329,327
7/23/2020,308,312
7/24/2020,298,295
7/25/2020,153,286
7/26/2020,140,281
7/27/2020,312,269
7/28/2020,313,265
7/29/2020,287,259
7/30/2020,274,254
7/31/2020,262,249
8/1/2020,189,254
8/2/2020,135,253
8/3/2020,348,258
8/4/2020,187,240
8/5/2020,298,242
8/6/2020,288,244
8/7/2020,255,243
8/8/2020,160,239
8/9/2020,133,238
8/10/2020,312,233
8/11/2020,263,244
8/12/2020,320,247
8/13/2020,276,246
8/14/2020,277,249
8/15/2020,151,247
8/16/2020,140,248
8/17/2020,333,251
8/18/2020,283,254
8/19/2020,257,245
8/20/2020,227,238
8/21/2020,252,235
8/22/2020,136,233
8/23/2020,150,234
